sector,title,type,level,qualification_number,status,official_catalogue_url,date_checked
Employability and Transition,Level 2 Certificate for Transition to Working in the Social Care Sector,Qualification,2,603/6377/0,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Employability and Transition,Level 2 Certificate for Transition to Working in Warehousing and Logistics,Qualification,2,603/6379/4,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Employability and Transition,Level 2 Certificate in Employability and Personal Development,Qualification,2,603/6382/4,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Hospitality and Catering,Level 3 Diploma in Professional Patisserie,Qualification,3,601/5397/0,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Housing,Level 4 Certificate in Senior Housing and Property Management,Qualification,4,610/4555/X,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Housing,Level 5 Diploma in Executive Housing and Property Management,Qualification,5,610/4878/1,listed,https://innovateawarding.org/services/assessment/,2026-07-22
IT,Level 2 Certificate in IT User Skills (ITQ),Qualification,2,600/7550/8,listed,https://innovateawarding.org/services/assessment/,2026-07-22
IT,Level 3 Award in IT User Skills (ITQ),Qualification,3,600/7556/9,listed,https://innovateawarding.org/services/assessment/,2026-07-22
IT,Level 3 Certificate in IT User Skills (ITQ),Qualification,3,600/7761/X,listed,https://innovateawarding.org/services/assessment/,2026-07-22
IT,Level 3 Certificate in Web Design and Development,Qualification,3,601/8498/X,listed,https://innovateawarding.org/services/assessment/,2026-07-22
IT,Level 3 Diploma in IT User Skills (ITQ),Qualification,3,600/7557/0,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Leadership and Management,Level 2 Certificate in Lean Organisation Management Techniques (QCF),Qualification,2,601/4390/3,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Leadership and Management,Level 2 Certificate in Team Leading Principles,Qualification,2,603/6710/6,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Leadership and Management,Level 2 Diploma in Team Leading,Qualification,2,601/3513/X,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Leadership and Management,Level 3 Diploma in Leadership and Management,Qualification,3,603/2516/1,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Leadership and Management,Level 5 Diploma in Leadership and Management,Qualification,5,603/2870/8,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Passenger Transport and Logistics,Level 3 Certificate of Professional Competence for Transport Managers (Passenger Transport),Qualification,3,610/0172/7,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Passenger Transport and Logistics,Level 3 Certificate of Professional Competence for Transport Managers (Road Haulage),Qualification,3,610/0173/9,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Professional Services,Level 2 Award in Principles of Customer Service,Qualification,2,603/6702/7,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Professional Services,Level 2 Award in Principles of Digital Marketing Platforms,Qualification,2,601/5979/0,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Professional Services,Level 2 Certificate in Equality and Diversity,Qualification,2,601/4403/8,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Professional Services,Level 2 Certificate in Principles of Business and Administration,Qualification,2,601/3376/4,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Professional Services,Level 2 Certificate in Principles of Customer Service,Qualification,2,601/3477/X,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Retail and Warehousing,Level 2 Award in Operational Delivery (Principles),Qualification,2,603/2581/1,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Retail and Warehousing,Level 2 Certificate in Warehousing and Storage,Qualification,2,600/8215/X,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Retail and Warehousing,Level 3 Certificate in Operational Delivery (Advanced),Qualification,3,603/2582/3,listed,https://innovateawarding.org/services/assessment/,2026-07-22
